genename,Test_Os1,Test_Os2,Test_Os3,Test_Ch1,Test_Ch2,Test_Ch3,Test_Ad1,Test_Ad2,Test_Ad3,Test_MSC1,Test_MSC2,Test_MSC3
RPL31P30,0,0,0,1,0,0,0,0,0,0,0,0
RPL31P33,0,0,0,0,0,0,0,0,0,0,0,0
RPL31P35,0,0,0,0,0,0,0,0,0,1,0,0
RPL31P40,0,0,0,0,0,0,0,0,0,0,0,0
RPL31P41,0,0,0,0,0,0,0,0,0,0,0,0
RPL31P44,0,0,0,2,0,0,0,0,0,0,0,0
RPL31P45,0,0,0,0,0,0,0,0,0,0,0,0
RPL31P47,0,0,0,0,0,0,0,0,0,0,1,0
RPL31P49,1,0,0,5,2,0,0,1,0,3,10,0
RPL31P50,0,0,0,0,0,0,0,0,0,0,0,0
RPL31P52,0,0,0,0,0,0,0,0,0,0,0,2
RPL31P53,0,0,0,0,0,0,0,0,0,0,0,0
RPL31P54,0,0,0,0,0,0,0,0,0,0,0,0
RPL31P56,0,0,0,3,0,0,0,0,0,0,0,0
RPL31P57,0,0,0,0,1,0,0,0,0,0,0,0
RPL31P58,0,0,0,0,0,60,0,0,0,0,2,2
RPL31P59,0,0,0,0,0,0,0,0,0,0,0,0
RPL31P60,0,0,0,0,16,1,0,0,0,0,1,0
RPL31P61,0,0,0,0,0,0,0,0,0,0,0,0
RPL31P63,1,0,0,1,1,1,0,3,0,4,3,0
RPL31P7,0,0,0,0,0,0,0,0,0,0,0,0
RPL32,3410,685,1110,6258,7406,6812,581,2723,7580,8063,11925,4293
RPL32P1,0,0,0,1,0,0,0,0,0,0,1,2
RPL32P14,0,0,0,0,0,0,0,0,0,0,0,0
RPL32P26,0,0,0,0,0,0,0,0,0,0,0,0
RPL32P28,0,0,0,0,0,0,0,0,0,0,0,0
RPL32P3,23,1,0,65,50,148,4,38,179,64,88,154
RPL32P31,0,0,0,0,0,0,0,0,0,0,0,0
RPL32P33,0,0,0,0,0,9,0,0,0,0,0,0
RPL32P34,0,0,0,0,0,0,0,0,0,0,3,1
RPL32P35,0,0,0,0,0,0,0,0,0,0,0,0
RPL32P9,0,0,0,0,0,0,0,0,0,0,0,0
RPL34,4697,780,810,6487,8134,7361,567,3015,3142,9272,11749,1915
RPL34-DT,0,0,0,3,0,19,0,0,4,0,5,3
RPL34P1,0,0,0,0,0,0,0,0,0,0,0,0
RPL34P17,0,0,0,0,0,0,0,0,0,0,0,0
RPL34P18,1,0,0,11,5,2,0,2,1,3,4,0
RPL34P19,0,0,0,0,0,0,0,0,0,0,0,0
RPL34P20,0,0,0,0,0,0,0,0,0,0,27,0
RPL34P21,0,0,0,0,13,0,0,0,0,0,1,0
RPL34P22,0,0,0,0,0,0,0,0,0,0,0,0
RPL34P23,0,0,0,0,0,0,0,0,0,0,0,0
RPL34P26,0,0,0,4,0,0,0,0,0,0,1,0
RPL34P27,0,1,0,5,0,3,0,0,0,3,5,0
RPL34P29,0,0,0,0,0,0,0,0,0,0,0,0
RPL34P3,0,0,0,3,0,0,0,0,0,0,0,0
RPL34P31,0,0,0,0,1,0,0,0,0,0,0,0
RPL34P33,0,0,0,2,0,0,0,0,0,0,0,0
RPL34P34,0,0,0,3,2,1,0,0,0,0,3,0
RPL34P6,0,0,0,1,0,13,0,1,0,0,8,1
RPL34P8,0,0,0,0,0,0,0,0,0,0,0,0
RPL35,3941,944,1091,2263,2022,3003,562,6170,3990,6844,3144,2748
RPL35A,8188,525,530,2431,2835,2994,718,4811,3347,12110,4573,2536
RPL35AP,0,0,0,0,0,0,0,0,0,0,0,0
RPL35AP12,0,0,0,0,0,0,0,0,0,0,0,0
RPL35AP15,0,0,0,0,0,0,0,0,0,0,0,0
RPL35AP18,0,0,0,0,0,0,0,0,0,0,0,0
RPL35AP19,0,0,0,0,0,0,0,0,0,0,0,0
RPL35AP21,0,0,0,0,0,0,0,0,0,0,0,0
RPL35AP22,0,0,0,0,0,0,0,0,0,0,0,0
RPL35AP23,0,0,0,0,0,0,0,0,0,0,4,0
RPL35AP24,0,0,0,1,0,0,0,0,1,0,0,0
RPL35AP26,0,0,0,0,0,0,0,0,0,0,0,0
RPL35AP28,0,0,0,0,0,0,0,0,0,0,0,0
RPL35AP3,0,0,0,0,0,0,0,0,0,0,0,0
RPL35AP30,0,0,0,0,0,0,0,0,0,0,0,0
RPL35AP31,0,0,0,0,0,0,0,0,0,0,0,0
RPL35AP32,0,0,0,3,1,0,0,1,2,0,1,0
RPL35AP33,0,0,0,0,0,0,0,0,0,0,0,0
RPL35AP35,0,0,0,0,0,0,0,0,0,0,0,0
RPL35AP4,0,0,0,0,0,0,0,0,0,0,0,0
RPL35P1,0,0,0,0,0,3,0,0,0,0,1,0
RPL35P2,0,0,0,1,1,0,0,0,1,0,2,2
RPL35P3,0,0,0,0,0,8,0,0,1,0,7,1
RPL35P4,0,0,0,0,0,0,0,0,0,0,0,0
RPL35P5,6,1,1,0,0,3,1,8,2,5,3,0
RPL35P6,0,0,0,12,22,0,0,0,1,0,21,3
RPL35P8,0,0,0,0,0,0,0,0,0,0,0,0
RPL35P9,0,0,0,2,21,0,0,0,0,0,0,0
RPL36,2667,468,727,1122,1214,1556,350,1930,2169,4165,2414,1483
RPL36A,57,0,10,54,53,20,7,27,19,77,113,35
RPL36A-HNRNPH2,0,0,0,0,0,0,0,0,0,0,0,0
RPL36AL,851,110,116,1221,1478,1775,30,3270,535,1600,2070,607
RPL36AP10,0,0,0,0,0,0,0,0,0,0,0,0
RPL36AP13,1,0,2,3,1,7,0,0,1,1,7,0
RPL36AP14,0,0,0,0,0,0,0,0,0,0,0,0
RPL36AP15,12,0,0,10,0,0,0,0,0,0,7,3
RPL36AP16,0,0,0,0,0,0,0,0,0,0,1,0
RPL36AP21,0,0,0,3,0,0,0,0,0,0,0,0
RPL36AP26,0,0,0,0,0,0,0,0,0,0,0,0
RPL36AP29,0,0,0,0,0,7,0,0,0,0,0,0
RPL36AP33,0,0,0,0,16,17,0,0,1,0,7,0
RPL36AP35,0,0,0,0,0,0,0,0,0,0,0,0
RPL36AP36,0,0,0,0,0,0,0,0,1,0,0,0
RPL36AP39,0,0,0,1,0,0,0,0,0,0,0,0
RPL36AP40,0,0,0,0,0,0,0,0,0,0,0,0
RPL36AP41,0,0,0,16,0,0,0,0,1,0,12,5
RPL36AP43,0,0,0,0,5,0,0,0,1,0,3,0
RPL36AP45,1,0,0,4,18,2,0,0,0,0,8,0
RPL36AP48,0,0,0,0,0,39,0,0,0,0,0,0
RPL36AP51,0,0,0,0,1,0,0,0,0,0,0,0
RPL36AP53,0,0,0,0,0,0,0,0,0,0,0,0
RPL36AP55,0,0,0,0,0,0,0,0,0,0,0,0
RPL36AP6,0,0,0,0,0,0,0,0,0,0,0,0
RPL36P1,0,0,0,0,0,0,0,0,0,0,0,0
RPL36P16,0,0,0,0,0,0,0,0,0,0,0,0
RPL36P18,0,0,0,0,0,0,0,0,0,0,0,0
RPL36P19,0,0,0,0,0,0,0,0,0,0,0,0
RPL36P2,0,0,0,0,0,0,0,0,1,0,0,0
RPL36P20,0,0,0,0,0,0,0,0,0,0,1,0
RPL37,7658,1171,879,6644,7697,9208,782,3535,5519,26426,14505,3078
RPL37A,11493,2528,2049,3395,4015,4777,1229,6404,5309,32513,6950,3808
RPL37A-DT,0,0,0,9,0,0,0,3,15,0,2,5
RPL37AP1,4,0,0,0,1,1,2,3,0,12,0,0
RPL37AP8,0,0,0,5,0,0,0,0,2,0,2,2
RPL37P1,0,0,0,3,0,0,0,0,0,0,1,1
RPL37P10,0,0,0,1,0,0,0,0,0,0,0,0
RPL37P11,0,0,0,0,0,0,0,0,0,0,0,0
RPL37P12,0,0,0,0,0,0,0,0,1,0,2,2
RPL37P13,0,0,0,0,0,0,0,0,0,0,0,0
RPL37P15,0,0,0,0,0,0,0,0,0,0,0,0
RPL37P18,0,0,0,0,0,0,0,0,0,0,0,0
RPL37P2,0,0,0,2,0,10,0,2,0,3,9,0
RPL37P21,0,0,0,0,0,0,0,0,0,0,0,0
RPL37P23,1,0,0,1,4,6,0,2,1,3,5,0
RPL37P25,0,0,0,0,0,0,0,0,0,0,0,0
RPL37P3,0,0,0,0,0,0,0,0,0,0,0,0
RPL37P4,0,0,0,0,0,0,0,0,0,0,0,0
RPL37P6,0,0,0,2,1,1,0,0,0,1,6,0
RPL38,3286,428,665,3627,4185,5562,363,2410,1589,7387,6992,980
RPL38P1,0,0,0,13,0,0,0,0,0,0,0,0
RPL38P2,0,0,0,0,0,1,0,0,0,0,0,0
RPL38P3,0,0,0,0,0,0,0,0,0,0,0,0
RPL38P4,0,0,0,0,4,0,0,0,0,0,1,0
RPL38P5,0,0,0,0,0,0,0,0,0,0,1,2
RPL38P6,0,0,0,0,0,0,0,0,0,0,0,0
RPL39,66,13,54,1950,1693,2329,7,70,2708,159,2979,962
RPL39L,25,4,6,31,0,7,1,76,36,247,46,29
RPL39P14,0,0,0,1,0,0,0,0,0,0,4,1
RPL39P15,0,0,0,0,0,1,0,0,0,0,1,0
RPL39P16,0,0,0,0,0,0,0,0,0,0,2,0
RPL39P18,0,0,0,0,1,0,0,0,0,0,0,0
RPL39P25,0,0,0,5,0,0,0,0,0,0,0,0
RPL39P26,0,0,0,9,5,3,0,0,0,0,10,0
RPL39P28,0,0,0,0,0,0,0,0,0,0,0,0
RPL39P29,0,0,0,0,0,0,0,0,0,0,0,0
RPL39P3,3,0,0,9,4,19,4,5,40,9,7,7
RPL39P31,0,0,0,0,0,0,0,0,0,0,0,0
RPL39P33,0,0,0,0,0,0,0,0,0,0,0,0
RPL39P36,0,0,0,2,0,0,0,1,0,0,3,0
RPL39P38,0,0,0,2,0,0,0,0,0,0,0,1
RPL39P39,0,0,0,1,0,0,0,0,0,0,0,0
RPL39P40,0,0,0,0,0,0,0,0,0,0,0,0
RPL39P5,0,0,0,0,0,14,0,0,0,0,5,0
RPL39P6,0,2,0,0,2,1,0,0,0,0,0,0
RPL3L,0,0,0,0,0,0,0,0,2,0,0,0
RPL3P1,0,0,0,0,0,1,0,0,0,0,0,0
RPL3P10,0,0,0,0,0,0,0,0,0,0,0,0
RPL3P11,0,0,0,0,4,0,0,0,0,0,0,0
RPL3P12,0,0,0,6,0,0,0,0,0,0,0,0
RPL3P13,0,0,0,0,0,0,0,0,0,0,0,0
RPL3P2,16,0,0,5,1,14,0,0,14,13,10,6
RPL3P3,0,0,0,0,0,0,0,0,0,0,0,0
RPL3P4,3,0,0,21,21,32,0,2,35,3,68,15
RPL3P5,0,0,0,3,0,0,0,0,0,0,0,0
RPL3P6,0,0,2,4,6,0,0,0,1,0,8,2
RPL3P7,0,0,0,0,1,0,0,1,1,0,3,0
RPL3P8,0,0,0,0,0,0,0,0,0,0,0,0
RPL3P9,0,0,0,0,0,14,0,0,1,0,1,0
RPL4,15797,280,944,12344,17939,14507,3047,6155,33368,17310,24668,20636
RPL41,4339,258,253,1781,2359,2899,201,2103,6085,4624,5154,4858
RPL41P1,0,0,0,0,3,0,0,0,0,0,2,0
RPL41P2,16,5,0,3,2,2,1,9,5,15,6,0
RPL41P5,0,0,0,12,13,2,0,2,0,1,9,0
RPL4P1,0,0,0,3,17,15,0,0,0,0,2,0
RPL4P2,0,0,0,3,2,0,0,0,0,0,1,0
RPL4P3,5,0,0,5,0,0,0,0,0,0,2,0
RPL4P4,12,0,1,44,78,36,2,4,144,11,59,44
RPL4P5,4,0,1,10,13,11,2,2,3,5,15,5
RPL4P6,3,0,2,2,0,19,0,6,0,0,23,1
RPL4P7,0,0,0,10,22,27,0,0,0,0,2,0
RPL5,9939,432,896,11399,17139,12787,977,7944,12817,13124,22928,8975
RPL5P1,3,0,0,2,2,21,0,5,2,3,6,1
RPL5P10,0,0,0,0,0,0,0,0,0,0,0,0
RPL5P11,0,0,0,12,2,1,0,0,2,0,0,0
RPL5P12,9,0,1,13,11,30,1,1,1,2,21,0
RPL5P13,0,0,0,0,0,0,0,0,0,0,6,0
RPL5P14,0,0,0,9,0,0,0,0,0,0,0,0
RPL5P15,0,0,0,0,0,0,0,0,0,0,0,0
RPL5P16,0,0,0,1,0,0,0,0,0,0,1,0
RPL5P17,1,0,0,5,3,5,0,0,0,1,6,0
RPL5P18,0,0,0,0,0,0,0,0,3,0,5,1
RPL5P19,0,0,0,0,0,0,0,0,0,0,0,0
RPL5P2,0,0,0,0,31,0,0,0,0,0,0,0
RPL5P20,0,0,0,2,0,0,0,0,0,0,0,1
RPL5P21,0,0,0,1,0,5,0,0,0,0,0,0
RPL5P22,4,1,0,11,11,6,0,0,0,1,9,0
RPL5P23,2,0,0,0,7,2,2,5,1,3,2,1
RPL5P24,0,0,0,0,1,2,0,0,1,0,4,0
RPL5P25,0,0,0,0,1,0,0,0,0,0,0,1
RPL5P26,0,0,0,7,1,0,0,1,0,0,0,0
RPL5P27,0,0,0,0,0,1,0,0,0,0,0,0
RPL5P28,0,0,0,5,8,0,0,0,0,0,0,0
RPL5P29,0,0,0,0,0,0,0,0,0,1,0,0
RPL5P3,0,0,0,2,0,1,0,0,0,0,2,0
RPL5P30,0,0,0,7,2,1,0,1,9,0,2,5
RPL5P31,0,0,0,0,0,0,0,0,0,0,0,0
RPL5P32,0,0,0,0,0,0,0,0,0,1,0,0
RPL5P33,0,0,0,0,0,0,0,0,0,0,0,0
RPL5P34,4,0,0,50,105,98,0,8,8,24,61,2
RPL5P35,0,0,0,0,7,0,0,0,0,0,0,0
RPL5P4,5,0,1,17,1,33,0,3,1,2,11,1
RPL5P5,0,0,0,0,0,1,0,0,1,0,3,0
RPL5P6,0,0,0,4,0,0,0,0,0,0,0,0
RPL5P7,0,0,0,0,0,0,0,0,0,0,0,0
RPL5P8,0,0,0,0,1,0,0,0,0,0,1,0
RPL5P9,0,0,0,3,10,4,0,0,1,0,2,0
RPL6,7121,874,2011,9440,12668,11681,1207,8423,17249,18865,18614,11347
RPL6P12,0,0,0,2,0,0,0,0,0,0,10,2
RPL6P2,0,0,0,0,0,6,0,0,1,0,3,0
RPL6P21,0,0,0,0,0,0,0,0,0,0,0,0
RPL6P24,0,0,0,8,6,0,0,0,0,0,5,0
RPL6P25,0,0,0,0,0,1,0,0,0,0,1,0
RPL6P27,16,1,3,62,117,88,3,19,146,87,101,92
RPL6P29,0,0,0,1,0,1,0,0,0,0,1,0
RPL6P30,0,0,0,3,0,0,0,0,0,0,0,0
RPL6P4,0,0,0,1,1,3,0,0,0,0,2,0
RPL6P5,0,0,0,0,0,0,0,0,0,0,0,0
RPL6P6,0,0,0,6,1,0,0,0,2,0,4,1
RPL6P7,0,0,0,0,0,0,0,0,0,0,0,0
RPL6P8,0,0,0,3,4,0,0,0,3,0,6,0
RPL6P9,0,0,0,0,0,0,0,0,0,0,0,0
RPL7,9356,1011,2015,7254,10255,8844,1002,14094,17325,16865,14856,9900
RPL7A,10273,819,1834,3767,5076,4069,1312,6850,28272,9325,7128,17268
RPL7AP10,0,0,0,0,1,4,0,0,3,0,3,3
RPL7AP11,0,0,0,0,2,2,0,1,2,1,1,0
RPL7AP14,1,0,0,0,0,0,0,0,0,0,0,0
RPL7AP15,0,0,0,0,0,0,0,0,0,0,6,0
RPL7AP2,9,0,0,0,0,0,0,0,0,0,0,4
RPL7AP22,0,0,0,0,43,0,0,0,0,0,13,0
RPL7AP23,0,0,0,0,17,0,0,0,0,0,0,0
RPL7AP25,0,0,0,0,0,0,0,0,0,0,0,0
RPL7AP26,0,0,0,0,24,0,0,0,0,0,1,0
RPL7AP28,17,0,0,0,0,0,0,10,2,0,7,0
RPL7AP3,0,0,0,0,0,0,0,0,0,0,1,0
RPL7AP30,2,0,0,1,6,7,0,0,3,1,7,2
RPL7AP31,0,0,0,0,1,0,0,0,0,0,2,0
RPL7AP33,0,0,0,0,0,0,0,0,0,0,0,0
RPL7AP34,0,0,0,0,0,0,0,0,0,0,0,0
RPL7AP38,0,0,0,0,0,0,0,0,0,0,0,0
RPL7AP4,0,0,0,0,0,0,0,0,0,0,0,0
RPL7AP50,1,0,0,0,0,0,0,0,2,0,0,1
RPL7AP51,0,0,0,0,0,0,0,0,0,0,0,0
RPL7AP52,0,0,0,0,0,0,0,0,0,0,0,0
RPL7AP53,0,0,0,0,0,0,0,0,0,0,2,0
RPL7AP56,0,0,0,0,14,0,0,0,0,0,0,0
RPL7AP57,0,0,0,0,0,0,0,0,0,0,0,0
RPL7AP58,0,0,0,0,0,0,0,0,0,0,0,0
RPL7AP6,31,0,3,13,12,3,3,7,140,9,14,78
RPL7AP60,0,0,0,0,0,0,0,0,1,0,2,2
RPL7AP61,0,0,0,0,0,0,0,0,0,0,0,0
RPL7AP64,0,0,0,0,0,0,0,0,0,0,0,0
RPL7AP65,0,0,0,8,0,0,0,0,0,0,2,0
RPL7AP66,1,0,0,7,1,26,0,0,4,0,6,2
RPL7AP69,0,0,0,0,0,0,0,0,0,0,0,0
RPL7AP7,0,0,0,0,1,0,0,0,0,0,0,0
RPL7AP71,0,0,0,0,0,0,0,0,0,0,1,0
RPL7AP72,0,0,0,0,0,0,0,0,0,0,0,0
RPL7AP73,0,0,0,0,0,0,0,0,0,0,0,0
RPL7AP8,0,0,0,0,0,0,0,0,0,0,0,0
RPL7AP9,0,0,0,0,0,0,0,1,0,0,0,0
RPL7L1,200,8,15,907,1065,1583,33,1204,2394,635,1805,2374
RPL7L1P1,0,0,0,0,0,0,0,0,0,0,0,0
RPL7L1P10,0,0,0,0,0,0,0,0,0,0,0,0
RPL7L1P11,0,0,0,0,0,0,0,0,0,0,0,0
RPL7L1P12,0,0,0,0,0,0,0,0,0,0,0,0
RPL7L1P13,0,0,0,0,0,0,0,0,0,0,0,0
RPL7L1P2,0,0,0,0,0,0,0,0,0,0,0,0
RPL7L1P3,0,0,0,0,0,0,0,0,1,0,0,0
RPL7L1P4,0,0,0,4,0,0,0,0,0,0,0,0
RPL7L1P5,0,0,0,1,0,0,0,0,0,0,0,0
RPL7L1P7,0,0,0,0,0,0,0,0,0,0,0,0
RPL7L1P8,0,0,0,0,0,0,0,0,0,0,1,0
RPL7L1P9,0,0,0,3,17,0,0,0,1,0,9,0
RPL7P1,11,24,35,24,34,26,23,5,61,182,36,27
RPL7P10,0,0,0,0,0,11,0,0,0,0,0,0
RPL7P11,0,0,0,9,1,1,0,0,0,0,5,0
RPL7P12,0,0,0,7,60,0,1,0,0,0,0,0
RPL7P13,0,0,0,0,0,0,0,0,0,0,0,0
RPL7P14,0,0,0,2,7,1,0,0,0,0,8,1
RPL7P15,0,0,0,10,0,0,0,0,0,0,0,0
RPL7P16,0,0,0,2,5,0,0,0,0,0,2,0
RPL7P17,0,0,0,0,0,0,0,0,0,0,5,0
RPL7P18,0,0,0,16,1,2,0,0,0,0,0,0
RPL7P19,1,0,0,0,23,1,0,4,0,0,4,0
RPL7P2,0,0,0,0,0,0,0,0,0,0,0,0
RPL7P20,0,0,0,2,0,0,0,0,0,0,0,0
RPL7P21,0,0,0,5,0,7,0,0,0,0,14,1
RPL7P22,0,0,0,0,0,0,0,0,1,0,0,0
RPL7P23,0,0,2,12,1,13,0,1,2,1,3,0
RPL7P24,0,0,0,0,0,0,0,1,1,0,2,0
RPL7P25,0,0,0,17,0,0,0,0,0,0,2,0
RPL7P26,0,0,0,0,0,4,0,1,0,1,7,0
RPL7P27,0,0,0,1,0,0,0,0,0,0,0,0
RPL7P28,0,0,0,0,10,0,0,0,0,0,0,0
RPL7P29,0,0,0,0,0,0,0,0,0,0,0,0
RPL7P3,0,0,0,0,0,0,0,0,0,0,0,0
RPL7P30,0,0,0,0,0,0,0,0,0,0,0,0
RPL7P31,0,0,0,0,0,0,0,0,0,0,0,0
RPL7P32,0,0,0,0,15,0,0,0,3,0,33,0
RPL7P33,0,0,0,3,0,0,0,0,0,0,1,0
RPL7P34,0,0,0,0,0,0,0,0,0,0,0,0
RPL7P35,0,0,0,0,0,0,0,0,0,0,0,0
RPL7P36,0,0,0,0,0,0,0,0,0,0,0,0
RPL7P37,0,0,0,1,0,2,0,0,0,0,0,0
RPL7P38,0,0,0,0,0,0,0,3,2,0,1,1
RPL7P39,0,0,0,0,0,0,0,0,0,0,0,0
RPL7P4,0,0,0,3,1,0,0,1,0,0,0,0
RPL7P40,0,0,0,0,24,0,0,0,0,0,0,0
RPL7P41,0,0,0,0,0,0,0,0,0,0,1,0
RPL7P42,0,0,0,0,0,0,0,0,0,0,0,0
RPL7P43,0,0,0,0,0,0,0,0,0,0,0,0
RPL7P44,0,0,0,1,0,0,0,0,0,0,1,0
RPL7P45,0,0,0,4,1,1,0,0,0,0,0,0
RPL7P46,0,0,0,2,10,0,0,0,1,0,3,2
RPL7P47,0,0,0,0,3,20,0,1,0,1,0,0
RPL7P48,0,0,0,2,12,2,0,0,0,0,2,0
RPL7P49,0,0,0,5,0,0,0,0,1,0,9,1
RPL7P5,0,0,0,8,0,0,0,0,0,0,0,0
RPL7P50,0,0,0,0,0,0,0,0,0,0,0,0
RPL7P51,0,0,0,0,0,0,0,0,0,0,0,0
RPL7P52,0,0,0,8,0,0,0,0,0,0,0,0
RPL7P53,0,0,0,0,0,0,0,0,0,0,0,0
RPL7P54,0,0,0,0,0,0,0,0,0,0,0,0
RPL7P55,0,0,0,0,0,0,0,0,0,0,0,0
RPL7P56,0,0,0,0,0,0,0,0,0,0,0,0
RPL7P57,0,0,0,0,0,0,0,0,2,0,5,2
RPL7P58,0,0,0,0,0,0,0,0,0,0,0,0
RPL7P59,0,0,0,0,0,0,0,0,1,0,0,0
RPL7P6,0,0,0,4,3,1,0,0,0,0,2,0
RPL7P60,0,0,0,0,0,2,0,0,0,0,2,0
RPL7P61,0,0,0,0,0,0,0,0,0,0,0,0
RPL7P7,4,0,0,1,0,1,0,0,0,0,2,0
RPL7P8,0,0,0,0,0,0,0,0,0,0,0,0
RPL7P9,5,2,4,106,124,80,2,17,133,10,125,39
RPL8,2621,264,1022,1603,2316,2587,236,1138,17362,5028,5176,11605
RPL8P2,0,0,0,0,0,0,0,0,0,0,0,0
RPL9,12800,1396,1573,3013,4370,3862,968,6501,8123,20913,4886,4840
RPL9P13,0,0,0,0,0,0,0,0,0,0,0,0
RPL9P14,0,0,0,9,0,3,0,0,0,0,0,0
RPL9P15,0,0,0,0,0,0,0,0,0,0,0,0
RPL9P16,0,0,0,9,40,0,0,0,0,0,0,0
RPL9P18,0,0,0,0,1,3,0,0,0,1,2,0
RPL9P2,0,0,0,0,4,0,0,0,1,0,1,0
RPL9P21,0,0,0,0,0,0,0,0,0,0,0,0
RPL9P28,0,0,0,0,0,1,0,0,0,0,1,0
RPL9P29,0,0,0,0,0,0,0,0,0,0,0,0
RPL9P3,0,1,0,0,1,2,0,0,0,0,0,0
RPL9P30,0,0,0,0,0,0,0,0,0,0,2,0
RPL9P31,0,0,0,1,0,0,0,0,0,0,0,0
RPL9P32,1,0,0,6,7,0,0,0,0,3,5,1
RPL9P33,0,0,0,0,0,0,0,0,0,0,0,0
RPL9P5,0,0,0,7,0,0,0,0,1,0,0,0
RPL9P6,0,0,0,0,0,0,0,0,0,0,0,0
RPL9P7,1,0,0,1,0,1,0,0,6,1,2,2
RPLP0,14605,1344,3481,8193,11778,10538,2101,6477,63083,21638,16929,28324
RPLP0P1,0,0,0,0,0,0,0,1,0,0,0,0
RPLP0P11,0,0,0,0,0,0,0,0,0,0,0,0
RPLP0P2,3,0,0,71,70,40,0,6,0,4,183,20
RPLP0P6,22,8,21,41,74,40,9,21,309,110,75,98
RPLP0P7,0,0,0,0,0,0,0,0,0,0,0,0
RPLP1,1992,673,1641,2185,2728,6890,121,465,15461,3221,8235,7503
RPLP1P10,0,0,0,0,0,0,0,0,0,0,0,0
RPLP1P13,0,0,0,0,1,0,0,0,0,0,0,0
RPLP1P5,0,0,0,0,0,0,0,0,0,0,0,0
RPLP1P6,0,0,1,0,41,15,0,1,9,0,14,2
RPLP2,4293,933,1223,4333,4434,5946,607,1810,7174,4184,9117,3164
RPLP2P1,0,0,0,0,0,0,0,0,0,0,0,0
RPN1,145,26,41,3608,3386,3253,21,2312,3544,416,3478,3951
RPN2,80,6,24,2090,1524,2154,21,2283,4516,246,4008,5811
RPP14,27,0,2,66,206,128,4,93,177,61,166,116
RPP21,3,0,0,5,24,1,0,1,2,0,15,10
RPP25,28,8,2,15,20,5,3,149,26,0,30,68
RPP25L,0,0,2,31,50,71,4,69,192,14,53,135
RPP30,23,0,12,253,270,288,2,177,337,146,481,219
RPP38,17,0,6,41,29,62,2,58,76,0,76,72
RPP38-DT,0,0,0,4,0,0,0,0,3,0,11,4
RPP40,1,1,2,21,45,48,0,59,83,26,79,72
RPP40P1,0,0,0,0,0,0,0,0,0,0,0,0
RPP40P2,0,0,0,0,0,0,0,0,0,0,0,0
RPPH1-2P,0,0,0,0,0,0,0,0,0,0,0,0
RPPH1-3P,0,0,0,0,0,0,0,0,0,0,0,0
RPRD1A,199,11,9,1214,851,1254,12,965,815,332,1444,640
RPRD1B,24,11,18,175,278,359,1,113,566,58,449,376
RPRD2,164,0,6,394,286,446,6,91,938,207,1150,870
RPRM,0,0,0,1,0,0,0,1,0,0,0,0
RPRML,0,0,0,5,0,0,0,0,0,0,0,1
RPS10,2218,278,341,128,149,238,293,1268,12,3340,271,13
RPS10-NUDT3,0,0,0,0,0,0,0,0,1,0,0,3
RPS10P14,0,0,0,0,0,0,0,0,0,0,0,0
RPS10P16,0,0,0,0,0,0,0,2,0,0,3,0
RPS10P18,0,0,0,0,0,0,0,0,0,0,1,0
RPS10P2,0,0,0,0,0,0,0,0,0,0,1,0
RPS10P21,0,0,0,0,0,0,0,0,0,0,0,0
RPS10P27,0,0,0,0,0,0,0,0,0,0,0,0
RPS10P28,0,0,0,0,0,0,0,0,0,0,0,0
RPS10P3,1,0,0,0,1,0,0,1,1,1,3,0
RPS10P5,1,0,0,0,0,0,0,0,2,0,0,1
RPS10P7,9,0,0,32,1,0,0,13,18,0,32,30
RPS10P9,0,0,0,0,0,0,0,0,0,0,0,0
RPS11,12052,859,1325,5724,6708,8005,1103,5950,9026,22850,14474,6186
RPS11P1,0,0,0,0,0,0,0,0,0,0,0,0
RPS11P5,11,1,1,13,37,22,0,5,11,11,22,12
RPS11P7,1,0,0,1,1,5,0,0,0,1,0,0
RPS12,10367,2092,2409,3186,4528,4655,1167,4716,9598,14398,7909,5196
RPS12P10,0,0,0,0,0,0,0,0,0,0,1,0
RPS12P15,0,0,0,0,0,0,0,0,0,0,0,0
RPS12P16,0,0,0,5,2,12,0,0,0,0,5,1
RPS12P17,0,0,0,5,0,0,0,0,1,0,1,0
RPS12P18,0,0,0,0,0,0,0,0,0,0,0,0
RPS12P2,0,0,0,0,0,0,0,0,0,0,0,0
RPS12P20,0,0,0,0,0,0,1,0,0,0,0,1
RPS12P23,2,0,0,2,1,1,0,2,0,3,2,0
RPS12P24,0,0,0,0,0,0,0,0,0,0,0,0
RPS12P26,0,0,0,0,0,0,0,0,0,0,1,0
RPS12P27,0,0,0,0,0,0,0,0,0,0,1,0
RPS12P3,0,0,0,6,0,3,0,4,1,0,11,7
RPS12P31,0,0,0,9,1,4,0,0,0,0,5,0
RPS12P4,0,0,0,0,0,0,0,0,0,1,0,0
RPS12P5,0,0,0,4,0,1,0,0,0,0,11,0
RPS13,6162,1361,1220,1301,2040,1706,568,3589,5557,8382,2722,2826
RPS13P2,5,3,0,1,2,3,0,2,8,4,3,0
RPS13P3,0,0,0,0,0,0,0,0,0,0,0,0
RPS13P4,0,0,0,1,0,0,0,0,0,0,1,0
RPS13P5,0,0,0,0,0,0,0,0,0,0,3,0
RPS14,13971,3324,3275,1110,1020,1165,1425,9175,11077,26318,1481,8468
RPS14P4,0,0,0,1,7,9,0,0,1,0,10,2
