genename,Test_Os1,Test_Os2,Test_Os3,Test_Ch1,Test_Ch2,Test_Ch3,Test_Ad1,Test_Ad2,Test_Ad3,Test_MSC1,Test_MSC2,Test_MSC3
AC002127.1,0,0,0,4,0,0,0,0,0,0,0,0
AC002128.1,0,0,0,5,0,0,0,0,6,0,3,1
AC002128.2,0,0,0,0,0,0,0,0,0,0,0,0
AC002306.1,0,0,0,0,0,0,0,0,0,0,0,0
AC002310.1,0,0,1,21,0,13,0,3,6,0,2,0
AC002310.2,0,0,0,0,0,0,0,0,0,0,0,0
AC002310.3,0,0,0,0,0,0,0,0,0,0,0,0
AC002310.4,0,0,0,0,0,0,0,0,0,0,0,0
AC002310.5,0,0,1,5,0,1,0,16,43,0,10,23
AC002331.1,0,0,0,5,0,0,0,0,0,0,0,0
AC002347.1,0,0,0,0,0,0,0,0,0,0,0,0
AC002347.2,0,0,0,0,0,0,0,0,0,0,1,0
AC002350.2,3,0,1,2,0,17,0,0,11,78,10,14
AC002351.1,0,0,0,0,0,0,0,0,0,0,0,0
AC002359.1,0,0,0,0,0,0,0,0,1,0,0,0
AC002366.1,0,0,0,0,0,0,0,0,0,0,0,0
AC002368.1,0,0,0,0,0,0,0,0,1,0,0,0
AC002375.1,0,0,0,0,0,0,0,0,0,0,0,0
AC002377.1,0,0,0,15,0,0,0,0,0,0,1,0
AC002378.1,0,0,0,0,0,0,0,0,0,0,0,2
AC002381.1,0,0,0,5,0,0,0,0,0,0,4,0
AC002383.1,0,0,0,0,0,0,0,0,0,0,0,0
AC002386.1,0,0,0,0,0,0,0,0,0,0,0,0
AC002398.1,0,0,0,0,0,0,0,1,2,0,0,4
AC002401.1,0,0,0,0,0,0,0,0,0,0,0,0
AC002401.2,0,0,0,0,0,0,0,0,1,0,0,0
AC002401.3,0,0,0,0,0,0,0,0,1,0,1,0
AC002401.4,0,0,0,6,0,9,0,0,0,0,7,1
AC002407.1,0,0,0,14,20,0,0,0,0,0,0,0
AC002428.1,0,0,0,0,0,0,0,0,0,0,0,0
AC002428.2,0,0,0,0,0,0,0,0,0,0,0,0
AC002429.1,0,0,0,0,0,0,0,0,0,0,0,0
AC002451.1,7,0,0,25,33,6,1,4,23,0,0,1
AC002451.2,0,0,0,7,13,0,0,0,0,0,0,0
AC002456.1,0,0,0,14,101,48,1,11,11,31,15,12
AC002456.2,0,0,0,0,0,0,0,0,0,0,0,0
AC002458.1,6,0,0,18,0,21,0,0,0,0,6,0
AC002460.1,0,0,0,0,0,0,0,0,0,0,0,0
AC002460.2,0,0,0,4,6,0,0,1,0,0,0,0
AC002463.1,0,0,0,10,25,0,0,1,0,0,7,0
AC002464.1,0,0,0,0,0,0,0,0,0,0,0,0
AC002465.1,0,0,0,0,0,0,0,0,0,0,0,0
AC002467.1,15,0,2,12,0,1,0,53,11,0,8,7
AC002470.1,0,0,0,0,0,0,1,2,1,0,0,2
AC002470.2,0,0,0,0,0,0,0,0,2,0,0,0
AC002472.1,0,0,0,0,0,0,0,0,0,0,0,0
AC002472.3,0,0,0,0,0,0,0,0,0,0,0,0
AC002472.4,0,0,0,0,0,0,0,0,0,0,0,0
AC002480.1,0,0,0,0,0,2,0,0,1,0,100,34
AC002480.2,0,0,0,0,29,0,0,0,0,0,53,40
AC002486.1,0,0,0,0,0,0,0,0,0,0,1,0
AC002486.2,0,0,0,0,0,0,0,0,0,0,0,0
